file name,manual count,auto count
8lr1,113,113
31_8_rl2,570,570
32rl1,504,503
13rr2,335,333
27_4_rd3,252,252
34_8_rr2,342,341
6rr2,365,365
3rd2,446,442
7rl3,293,292
34_8_rd3,191,191
35_8_rd1,438,437
38_8_ru1,428,427
33_8_rr1,471,471
10lu2,392,387
16ru2,462,455
12ll2,506,500
20rr2,439,433
13ru2,393,390
2ll2,388,387
7rd3,208,208
35_8_ll1,419,417
34_8_lu3,301,300
7ll2,463,459
36_8_rr3,247,247
7ru2,397,396
25_4_rd1,401,401
28_4_lu1,378,378
30_4_rd1,428,427
23lu3,278,277
6lu3,341,340
4ld3,254,253
1ll1,439,438
14ru3,281,280
29_4_ll3,345,345
33ld3,337,335
34rr1,395,392
41_8_rd2,452,452
27_4_lr1,348,344
35_8_rd3,352,351
36_8_rr2,388,0
30_4_ll3,243,243
24_4_ll3,160,160
33rd2,430,428
34rd2,297,295
14rr1,454,458
31_8_rr2,553,553
40rl2,456,454
10rr3,175,176
18ll2,346,344
1lr1,441,441
6ld3,255,255
8ld1,86,86
37ru1,464,460
10ru2,416,413
31rd2,406,402
31_8_ll2,514,514
38_8_ld3,98,98
10lr3,183,182
4rd1,425,420
33lu2,288 ,284
35ll1,502,499
38_8_lu3,26,26
31_8_ru3,388,388
13rl2,214,212
23_8_ld2,350,350
21_4_rr3,346,345
1rd1,483,483
12ru2,338,340
14rl1,379,378
29_4_ll2,500,499
37rr1,459,457
33_8_ru1,424,422
37_8_ru1,356,0
8lu1,191,191
36_8_ld2,329,329
30_4_ll2,369,369
33_8_rl3,232,231
4ru2,300,299
33ll2,478,470
35ld2,324,322
37_8_rr1,379,376
41_8_lu2,500,497
14lu3,247,247
35ld1,444,450
22_4_ll2,408,402
5rd3,328,327
32lr2,529,529
29_4_rr1,447,446
2ld2,406,403
6ll2,378,366
38lu1,406,405
37rr2,435,434
10ll1,341,338
36_8_lu2,354,350
39rr1,455,449
41_8_lr2,511,509
5ll3,160,160
6lr3,203,202
33_8_rr2,268,267
37ll3,192,192
27_4_ll1,442,442
20ld3,148,148
14rl2,475,471
3lr2,267,267
28_4_ld2,349,349
10rd2,419,417
38_8_lu2,245,245
26_4_lu3,344,344
1rr2,498,497
23_8_ru3,285,285
2rd1,394,393
34lr3,134,135
36_8_ll3,166,168
10lu3,171,170
13rl1,482,479
37_8_rl3,181,0
4lu1,368,361
8lu2,59,57
30_4_ll1,463,460
39ll3,290,291
3ru3,287,281
4rr2,479,472
7lr1,446,445
27_4_rd1,440,439
5ru1,423,420
23_8_lu2,338,337
32lu3,194,194
21_4_lu1,406,406
32ld1,431,0
32lu2,420,419
4lr1,315,310
8ll1,217,217
2rd2,258,258
25_4_rd2,415,415
34_8_lu1,347,347
20rl1,330,330
6lr2,300,299
42_8_rd2,443,443
33ld2,493,491
23lu2,396,392
23_8_rl2,402,399
37_8_rd2,264,0
19ll1,515,508
1rd2,515,514
5rd2,432,432
12ld2,413,409
1rl1,417,417
31_8_rl1,563,563
16lr1,411,405
22_4_ll3,318,311
22_4_lr3,387,385
37_8_rl2,343,0
33lr3,215,213
16ld2,241,241
38_8_lr2,391,387
36_8_rl3,139,139
36rr3,103,103
2rr1,386 ,384
31_8_ld3,216,216
37_8_ll3,228,228
5rr1,394,393
13ll1,382,383
13ld3,228,228
26_4_ll3,418,417
38rl2,415,414
35rr1,323,322
27_4_lr2,323,321
41_8_lu1,539,536
1ll3,330,328
24_4_rr2,364,362
38_8_rd2,410,410
16rl2,380,376
6rl2,319,319
26_4_lu1,397,394
3ru1,398,394
21_4_ld3,303,298
32ll2,373,373
1lu3,152,152
39rl1,487,483
41_8_lr3,314,313
13ll3,175,175
40rr3,205,205
40ld2,349,344
10lr1,337,335
5lu1,369,367
34rd3,146,146
36_8_ll2,302,303
20ll1,439,432
7ll3,301,300
12rr3,329,329
37_8_ld2,352,0
11ld2,320,319
35_8_ld2,432,431
32ll3,134,133
40ll2,224,223
28_4_lu3,250,248
34ll2,396,394
6ld2,368,372
34_8_ru2,261,261
17rd2,343,341
29_4_ru2,438,437
7rr3,145,145
20ll3,301,298
1rr3,258,258
23ru3,321,319
34rd1,404,400
31_8_rd1,540,539
1lr2,381,381
27_4_lu2,405,402
33_8_lr3,153,154
8rd2,366,365
30_4_ru1,390,388
